date,region,product,units_sold,unit_price
2026-06-01,東京,ノートPC,12,98000
2026-06-01,大阪,ノートPC,8,98000
2026-06-01,東京,マウス,45,2500
2026-06-02,福岡,モニター,6,32000
2026-06-02,東京,モニター,10,32000
2026-06-03,大阪,キーボード,20,7500
2026-06-03,東京,ノートPC,15,98000
2026-06-04,福岡,マウス,30,2500
2026-06-04,大阪,モニター,4,32000
2026-06-05,東京,キーボード,18,7500
2026-06-06,大阪,ノートPC,9,98000
2026-06-06,福岡,ノートPC,5,98000
2026-06-07,東京,マウス,50,2500
2026-06-08,福岡,キーボード,12,7500
2026-06-09,大阪,マウス,22,2500
2026-06-10,東京,モニター,14,32000
2026-06-11,福岡,モニター,3,32000
2026-06-12,大阪,キーボード,16,7500
2026-06-13,東京,ノートPC,20,98000
2026-06-14,福岡,ノートPC,7,98000
2026-06-15,大阪,モニター,8,32000
2026-06-16,東京,キーボード,25,7500
2026-06-17,福岡,マウス,18,2500
2026-06-18,大阪,ノートPC,11,98000
2026-06-19,東京,モニター,9,32000
2026-06-20,福岡,キーボード,14,7500
